date,title,content,heart,interest,view,price,temperature,seller,sold,image,region,url
14/10/2025,스토케트립트랩뉴본(재당근),"뉴본 모빌대, 연장글라이더, 박스 없어서 
저렴하게 구매했었어요

실제 사용해보니 전혀 불편함 없엇어요
신생아 시기에만 보조테이블 이용해 모빌보여주고
그외엔 보여줄 일이 없더라교요

세탁하면서 보풀 심해졋습니다
이 곳에서 수면, 수유하지 않아 깔끔하게 사용했습니다~
사용기간이 정말 짧네요 뉴본🥹

시가커버 제품 필요하시면 +2만에 드려요",2,1,234,70000,58.7,아이언,판매완료,5,경기 구리시 갈매동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%9E%AC%EB%8B%B9%EA%B7%BC-x2mppt1tbg3w/
11/11/2025,스토케트립트랩뉴본세트회색,"스토케 트립트랩 의자에 장착하여 신생아부터 사용할 수 있는 뉴본 세트입니다
아기가 편안하게 쉴 수 있도록 도와주고, 분리도 가능해서 세탁도 용이합니다
회색 색상으로 어느 인테리어에도 잘 어울립니다
깨끗하게 사용했습니다
세탁으로 인한 사용감 있습니다 예민하신분 거절합니다😭

아가가 있어서 비대면 문고리 거래 할께요~ 
환불어려우니 신중하게 구매해 주세요~~ 
당근페이로 입금해 주시면 상세주소 알려드립니당😍",4,1,81,70000,59.3,댕근댕근,판매완료,1,충남 천안시 서북구 성거읍,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%ED%9A%8C%EC%83%89-m3e4szregx1d/
30/06/2024,[재당근]스토케트립트랩뉴본세트풀박스,"⭐️구매시기: 2023년 11월 
⭐️사용시기: 2024년 2월 - 5월 
📣천기저귀나 속싸개 깔고 사용하여 오염없이 깨끗합니다. 
📣 어제 아기 세탁세제로 세탁 완료했으나 중고인점 감안하셔서 한 번 더 세탁 후 사용하세요.
📣📣 가장 먼저 오실 수 있으신 분과 거래하겠습니다. 
⭐️거래장소: 석계역 우남아파트 문고리거래
⭐️반품, 환불 불가 
❌예민맘, 찔러보기 사절❌",22,1,482,70000,45.1,하줌마,판매완료,1,서울시 노원구 월계3동,https://www.daangn.com/kr/buy-sell/%EC%9E%AC%EB%8B%B9%EA%B7%BC-%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8%EC%84%B8%ED%8A%B8-%ED%92%80%EB%B0%95%EC%8A%A4-77pnxradn1nu/
04/04/2026,스토케트립트랩뉴본세트(재당근/세탁완료),"스토케 트립트랩 뉴본 세트 판매해요

안전벨트와 쿠션이 포함된 구성이에요
사진에 보이는 그대로의 상태입니다

약간의 사용감 있지만 속싸개를 항상 깔고 눕혀서 깨끗합니다. 눈에 띄는 오염,이염은 없습니다.

* 모빌 걸이대는 약간 헐렁거려서 따로 고정하시거나 대체품을 찾으시는걸 추천드려요~
저는 그냥 썼습니다 :) ...

🔸육아 중이라 문고리 거래만 가능해요
🔸교환이나 환불은 어려운 점 양해 부탁드려요
🔸선입금 후 주소 알려드립니다",1,1,41,70000,48.3,이사준비중,판매완료,2,경기 고양시 덕양구 신원동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EC%9E%AC%EB%8B%B9%EA%B7%BC-%EC%84%B8%ED%83%81%EC%99%84%EB%A3%8C-x982h2m49zwy/
26/05/2026,스토케트립트랩뉴본세트재당근,"당근한 제품인데 아기가 별로좋아하지 않아서 가져온 상태에서 크게 달라지지않았지만 재당근인만큼 저렴하게 올립니다❤️

오염 이염 없습니다!
건조기사용❌
세탁감은 있어요~

도곡렉슬로 가지러오셔야해요",2,7,116,70000,41.4,맛있는파스타,판매완료,3,서울시 강남구 도곡2동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8%EC%84%B8%ED%8A%B8-%EC%9E%AC%EB%8B%B9%EA%B7%BC-j3sdiip4zd8c/
14/01/2026,스토케트립트랩뉴본세트그레이모빌거치대x,"스토케 트립트랩 뉴본 세트입니다
모빌거치대가 없어 저렴히 올려요.
약간의 보풀 있습니다 사진참고해주세요
세탁 해놓았습니다 바로 사용하시면 됩니다",2,1,100,70000,51.7,강주남,판매완료,4,경기 남양주시 별내동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EA%B7%B8%EB%A0%88%EC%9D%B4-%EB%AA%A8%EB%B9%8C%EA%B1%B0%EC%B9%98%EB%8C%80x-15b2fvzsoqim/
18/04/2026,스토케트립트랩뉴본(박스x),"아기에게 편안함을 선사하는 스토케 트립트랩 뉴본 세트(박스X)
저희 밥먹을 때 뉴본에 놔두면 애기가 스스로 잠들었어요. 육아필수템 중 하나입니다!!",3,3,173,70000,38.2,오모모모,판매완료,1,경기 양주시 옥정동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EB%B0%95%EC%8A%A4x-q5tobbrawpgm/
06/03/2026,스토케트립트랩뉴본(재당근)모빌대포함,"스토케 트립트랩 뉴본 입니다
재당근으로 가격 저렴하게 올립니다.
어른들 식사할 때 뉴본에 눕히고 인형 하나 달아주면 10분정도는 버텼던 것 같습니다^^.

보풀정도는 사진상 확인해보시라고 추가로 올렸습니다.
미세하게 있습니다.
세탁은 벨트까지 모두 한 상태이나 사용 전 확인부탁드려요.

연장글라이드는 포함아니고
모빌대만 포함이에요!!

문고리거래만합니다.",2,0,76,70000,45.9,다랑,판매완료,6,경기 양주시 옥정동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%9E%AC%EB%8B%B9%EA%B7%BC-%EB%AA%A8%EB%B9%8C%EB%8C%80-%ED%8F%AC%ED%95%A8-r1qv42ugeiwe/
01/03/2026,스토케트립트랩뉴본만!,"스토케 트립트랩 뉴본 세트입니다
지인에게 새제품 물려받았는데 아기가 뉴본에 누워있는걸 싫어해서 실사용은 거의 없어요
세탁은 해놨고 박스가 없어 저렴하게 판매합니다",3,0,151,70000,48.4,만두만두,판매완료,4,경기 양주시 옥정동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8%EB%A7%8C-6wa1osj1p4mo/
08/05/2026,(재당근)스토케트립트랩뉴본세트,"민트급으로 구입해서 사용후 재당근입니다. 
여아가 사용했고, 매번 수건 씌우고 써서 얼룩이나 보풀은 눈에 띄지 않습니다. 
다만 커버를 씌울 때는 괜찮은데 사용하다보면 커버 위쪽 고무줄이 늘어났는지 살짝 벗겨져 올라오는데 사용하는데 불편함 없이 썼습니다. 하네스가 커버를 고정하기 때문에 안전상으로도 특별히 걱정하지는 않았고요. 

고무줄때문에 저렴하게 내놓습니다.깨끗이 세탁해 두었습니다. 
문고리거래 원합니다. (박스x, 교환환불x)",2,2,147,70000,38,나앵,판매완료,4,경기 용인시 기흥구 상하동,https://www.daangn.com/kr/buy-sell/%EC%9E%AC%EB%8B%B9%EA%B7%BC-%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-cgjgc291eksj/
